id,product_id,average_rating,total_reviews,rating1,rating2,rating3,rating4,rating5,updated_at
pra_001,prd_001,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_002,prd_002,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_003,prd_003,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_004,prd_004,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_005,prd_005,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_006,prd_006,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_007,prd_007,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_008,prd_008,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_009,prd_009,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_010,prd_010,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_011,prd_011,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_012,prd_012,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_013,prd_013,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_014,prd_014,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_015,prd_015,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_016,prd_016,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_017,prd_017,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_018,prd_018,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_019,prd_019,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_020,prd_020,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_021,prd_021,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_022,prd_022,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_023,prd_023,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_024,prd_024,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_025,prd_025,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_026,prd_026,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_027,prd_027,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_028,prd_028,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_029,prd_029,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_030,prd_030,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_031,prd_031,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_032,prd_032,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_033,prd_033,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_034,prd_034,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_035,prd_035,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_036,prd_036,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_037,prd_037,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_038,prd_038,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_039,prd_039,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_040,prd_040,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_041,prd_041,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_042,prd_042,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_043,prd_043,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_044,prd_044,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_045,prd_045,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_046,prd_046,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_047,prd_047,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_048,prd_048,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_049,prd_049,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_050,prd_050,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_051,prd_051,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
