id,user_id,brand_id,can_manage_products,created_at
bm_001,usr_heritage_mgr,br_heritage,true,2026-05-15T00:00:00Z
bm_002,usr_nova_mgr,br_nova,true,2026-05-15T00:00:00Z
bm_003,usr_verve_mgr,br_verve,true,2026-05-15T00:00:00Z
bm_004,usr_mira_mgr,br_mira,true,2026-05-15T00:00:00Z
bm_005,usr_rise_mgr,br_rise,true,2026-05-15T00:00:00Z
bm_006,usr_luna_mgr,br_luna,true,2026-05-15T00:00:00Z
bm_007,usr_007,br_heritage,false,2026-05-15T00:00:00Z
bm_008,usr_008,br_nova,false,2026-05-15T00:00:00Z
bm_009,usr_009,br_verve,false,2026-05-15T00:00:00Z
bm_010,usr_010,br_mira,false,2026-05-15T00:00:00Z
bm_011,usr_011,br_rise,false,2026-05-15T00:00:00Z
bm_012,usr_012,br_luna,false,2026-05-15T00:00:00Z
bm_013,usr_013,br_heritage,false,2026-05-15T00:00:00Z
bm_014,usr_014,br_nova,false,2026-05-15T00:00:00Z
bm_015,usr_015,br_verve,false,2026-05-15T00:00:00Z
bm_016,usr_016,br_mira,false,2026-05-15T00:00:00Z
bm_017,usr_017,br_rise,false,2026-05-15T00:00:00Z
bm_018,usr_018,br_luna,false,2026-05-15T00:00:00Z
bm_019,usr_019,br_heritage,false,2026-05-15T00:00:00Z
bm_020,usr_020,br_nova,false,2026-05-15T00:00:00Z
bm_021,usr_021,br_verve,false,2026-05-15T00:00:00Z
bm_022,usr_022,br_mira,false,2026-05-15T00:00:00Z
bm_023,usr_023,br_rise,false,2026-05-15T00:00:00Z
bm_024,usr_024,br_luna,false,2026-05-15T00:00:00Z
bm_025,usr_025,br_heritage,false,2026-05-15T00:00:00Z
bm_026,usr_026,br_nova,false,2026-05-15T00:00:00Z
bm_027,usr_027,br_verve,false,2026-05-15T00:00:00Z
bm_028,usr_028,br_mira,false,2026-05-15T00:00:00Z
bm_029,usr_029,br_rise,false,2026-05-15T00:00:00Z
bm_030,usr_030,br_luna,false,2026-05-15T00:00:00Z
