id,user_id,product_id,created_at
wl_001,usr_001,prd_001,2026-05-15T00:00:00Z
wl_002,usr_002,prd_002,2026-05-15T00:00:00Z
wl_003,usr_003,prd_003,2026-05-15T00:00:00Z
wl_004,usr_004,prd_004,2026-05-15T00:00:00Z
wl_005,usr_005,prd_005,2026-05-15T00:00:00Z
wl_006,usr_006,prd_006,2026-05-15T00:00:00Z
wl_007,usr_007,prd_007,2026-05-15T00:00:00Z
wl_008,usr_008,prd_008,2026-05-15T00:00:00Z
wl_009,usr_009,prd_009,2026-05-15T00:00:00Z
wl_010,usr_010,prd_010,2026-05-15T00:00:00Z
wl_011,usr_011,prd_011,2026-05-15T00:00:00Z
wl_012,usr_012,prd_012,2026-05-15T00:00:00Z
wl_013,usr_013,prd_013,2026-05-15T00:00:00Z
wl_014,usr_014,prd_014,2026-05-15T00:00:00Z
wl_015,usr_015,prd_015,2026-05-15T00:00:00Z
wl_016,usr_016,prd_016,2026-05-15T00:00:00Z
wl_017,usr_017,prd_017,2026-05-15T00:00:00Z
wl_018,usr_018,prd_018,2026-05-15T00:00:00Z
wl_019,usr_019,prd_019,2026-05-15T00:00:00Z
wl_020,usr_020,prd_020,2026-05-15T00:00:00Z
wl_021,usr_021,prd_021,2026-05-15T00:00:00Z
wl_022,usr_022,prd_022,2026-05-15T00:00:00Z
wl_023,usr_023,prd_023,2026-05-15T00:00:00Z
wl_024,usr_024,prd_024,2026-05-15T00:00:00Z
wl_025,usr_025,prd_025,2026-05-15T00:00:00Z
wl_026,usr_026,prd_026,2026-05-15T00:00:00Z
wl_027,usr_027,prd_027,2026-05-15T00:00:00Z
wl_028,usr_028,prd_028,2026-05-15T00:00:00Z
wl_029,usr_029,prd_029,2026-05-15T00:00:00Z
wl_030,usr_030,prd_030,2026-05-15T00:00:00Z
wl_031,usr_031,prd_031,2026-05-15T00:00:00Z
wl_032,usr_032,prd_032,2026-05-15T00:00:00Z
wl_033,usr_033,prd_033,2026-05-15T00:00:00Z
wl_034,usr_034,prd_034,2026-05-15T00:00:00Z
wl_035,usr_035,prd_035,2026-05-15T00:00:00Z
wl_036,usr_036,prd_036,2026-05-15T00:00:00Z
wl_037,usr_037,prd_037,2026-05-15T00:00:00Z
wl_038,usr_038,prd_038,2026-05-15T00:00:00Z
wl_039,usr_039,prd_039,2026-05-15T00:00:00Z
wl_040,usr_040,prd_040,2026-05-15T00:00:00Z
wl_041,usr_041,prd_041,2026-05-15T00:00:00Z
wl_042,usr_042,prd_042,2026-05-15T00:00:00Z
wl_043,usr_043,prd_043,2026-05-15T00:00:00Z
wl_044,usr_044,prd_044,2026-05-15T00:00:00Z
wl_045,usr_045,prd_045,2026-05-15T00:00:00Z
wl_046,usr_046,prd_046,2026-05-15T00:00:00Z
wl_047,usr_047,prd_047,2026-05-15T00:00:00Z
wl_048,usr_048,prd_048,2026-05-15T00:00:00Z
wl_049,usr_049,prd_049,2026-05-15T00:00:00Z
wl_050,usr_050,prd_050,2026-05-15T00:00:00Z
