id,review_id,user_id,is_helpful,created_at,updated_at
rhv_001_1,rev_001,usr_006,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_001_2,rev_001,usr_011,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_001_3,rev_001,usr_016,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_002_1,rev_002,usr_007,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_002_2,rev_002,usr_012,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_002_3,rev_002,usr_017,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_003_1,rev_003,usr_008,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_003_2,rev_003,usr_013,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_003_3,rev_003,usr_018,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_004_1,rev_004,usr_009,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_004_2,rev_004,usr_014,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_004_3,rev_004,usr_019,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_005_1,rev_005,usr_010,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_005_2,rev_005,usr_015,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_005_3,rev_005,usr_020,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_006_1,rev_006,usr_011,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_006_2,rev_006,usr_016,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_006_3,rev_006,usr_021,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_007_1,rev_007,usr_012,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_007_2,rev_007,usr_017,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_007_3,rev_007,usr_022,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_008_1,rev_008,usr_013,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_008_2,rev_008,usr_018,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_008_3,rev_008,usr_023,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_009_1,rev_009,usr_014,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_009_2,rev_009,usr_019,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_009_3,rev_009,usr_024,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_010_1,rev_010,usr_015,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_010_2,rev_010,usr_020,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_010_3,rev_010,usr_025,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_011_1,rev_011,usr_016,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_011_2,rev_011,usr_021,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_011_3,rev_011,usr_026,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_012_1,rev_012,usr_017,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_012_2,rev_012,usr_022,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_012_3,rev_012,usr_027,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_013_1,rev_013,usr_018,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_013_2,rev_013,usr_023,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_013_3,rev_013,usr_028,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_014_1,rev_014,usr_019,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_014_2,rev_014,usr_024,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_014_3,rev_014,usr_029,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_015_1,rev_015,usr_020,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_015_2,rev_015,usr_025,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_015_3,rev_015,usr_030,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_016_1,rev_016,usr_021,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_016_2,rev_016,usr_026,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_016_3,rev_016,usr_031,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_017_1,rev_017,usr_022,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_017_2,rev_017,usr_027,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_017_3,rev_017,usr_032,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_018_1,rev_018,usr_023,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_018_2,rev_018,usr_028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_018_3,rev_018,usr_033,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_019_1,rev_019,usr_024,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_019_2,rev_019,usr_029,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_019_3,rev_019,usr_034,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_020_1,rev_020,usr_025,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_020_2,rev_020,usr_030,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_020_3,rev_020,usr_035,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_021_1,rev_021,usr_026,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_021_2,rev_021,usr_031,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_021_3,rev_021,usr_036,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_022_1,rev_022,usr_027,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_022_2,rev_022,usr_032,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rhv_022_3,rev_022,usr_037,false,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
