id,review_id,reported_by_user_id,reason,description,status,resolution_note,resolved_by_id,resolved_at,created_at
rr_002,rev_002,usr_004,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_004,rev_004,usr_006,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_006,rev_006,usr_008,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_008,rev_008,usr_010,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_010,rev_010,usr_012,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_012,rev_012,usr_014,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_014,rev_014,usr_016,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_016,rev_016,usr_018,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_018,rev_018,usr_020,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_020,rev_020,usr_022,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_022,rev_022,usr_024,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_024,rev_024,usr_026,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_026,rev_026,usr_028,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_028,rev_028,usr_030,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_030,rev_030,usr_032,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_032,rev_032,usr_034,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_034,rev_034,usr_036,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_036,rev_036,usr_038,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_038,rev_038,usr_040,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_040,rev_040,usr_042,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_042,rev_042,usr_044,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_044,rev_044,usr_046,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_046,rev_046,usr_048,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_048,rev_048,usr_050,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_050,rev_050,usr_052,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_052,rev_052,usr_054,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_054,rev_054,usr_056,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_056,rev_056,usr_058,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_058,rev_058,usr_060,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_060,rev_060,usr_062,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_062,rev_062,usr_064,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_064,rev_064,usr_066,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_066,rev_066,usr_068,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_068,rev_068,usr_070,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_070,rev_070,usr_072,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_072,rev_072,usr_074,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_074,rev_074,usr_076,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_076,rev_076,usr_078,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_078,rev_078,usr_080,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_080,rev_080,usr_082,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_082,rev_082,usr_084,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_084,rev_084,usr_086,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_086,rev_086,usr_088,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_088,rev_088,usr_090,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_090,rev_090,usr_092,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_092,rev_092,usr_094,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_094,rev_094,usr_096,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_096,rev_096,usr_098,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_098,rev_098,usr_100,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
rr_100,rev_100,usr_002,SPAM,Bot review,RESOLVED,Fixed,usr_admin,2026-05-15T00:00:00Z
