id,review_id,url,sort_order,created_at
ri_001,rev_001,https://cdn.example.com/reviews/img_001.jpg,0,2026-05-15T00:00:00Z
ri_002,rev_002,https://cdn.example.com/reviews/img_002.jpg,0,2026-05-15T00:00:00Z
ri_003,rev_003,https://cdn.example.com/reviews/img_003.jpg,0,2026-05-15T00:00:00Z
ri_004,rev_004,https://cdn.example.com/reviews/img_004.jpg,0,2026-05-15T00:00:00Z
ri_005,rev_005,https://cdn.example.com/reviews/img_005.jpg,0,2026-05-15T00:00:00Z
ri_006,rev_006,https://cdn.example.com/reviews/img_006.jpg,0,2026-05-15T00:00:00Z
ri_007,rev_007,https://cdn.example.com/reviews/img_007.jpg,0,2026-05-15T00:00:00Z
ri_008,rev_008,https://cdn.example.com/reviews/img_008.jpg,0,2026-05-15T00:00:00Z
ri_009,rev_009,https://cdn.example.com/reviews/img_009.jpg,0,2026-05-15T00:00:00Z
ri_010,rev_010,https://cdn.example.com/reviews/img_010.jpg,0,2026-05-15T00:00:00Z
ri_011,rev_011,https://cdn.example.com/reviews/img_011.jpg,0,2026-05-15T00:00:00Z
ri_012,rev_012,https://cdn.example.com/reviews/img_012.jpg,0,2026-05-15T00:00:00Z
ri_013,rev_013,https://cdn.example.com/reviews/img_013.jpg,0,2026-05-15T00:00:00Z
ri_014,rev_014,https://cdn.example.com/reviews/img_014.jpg,0,2026-05-15T00:00:00Z
ri_015,rev_015,https://cdn.example.com/reviews/img_015.jpg,0,2026-05-15T00:00:00Z
ri_016,rev_016,https://cdn.example.com/reviews/img_016.jpg,0,2026-05-15T00:00:00Z
ri_017,rev_017,https://cdn.example.com/reviews/img_017.jpg,0,2026-05-15T00:00:00Z
ri_018,rev_018,https://cdn.example.com/reviews/img_018.jpg,0,2026-05-15T00:00:00Z
ri_019,rev_019,https://cdn.example.com/reviews/img_019.jpg,0,2026-05-15T00:00:00Z
ri_020,rev_020,https://cdn.example.com/reviews/img_020.jpg,0,2026-05-15T00:00:00Z
ri_021,rev_021,https://cdn.example.com/reviews/img_021.jpg,0,2026-05-15T00:00:00Z
ri_022,rev_022,https://cdn.example.com/reviews/img_022.jpg,0,2026-05-15T00:00:00Z
ri_023,rev_023,https://cdn.example.com/reviews/img_023.jpg,0,2026-05-15T00:00:00Z
ri_024,rev_024,https://cdn.example.com/reviews/img_024.jpg,0,2026-05-15T00:00:00Z
ri_025,rev_025,https://cdn.example.com/reviews/img_025.jpg,0,2026-05-15T00:00:00Z
ri_026,rev_026,https://cdn.example.com/reviews/img_026.jpg,0,2026-05-15T00:00:00Z
ri_027,rev_027,https://cdn.example.com/reviews/img_027.jpg,0,2026-05-15T00:00:00Z
ri_028,rev_028,https://cdn.example.com/reviews/img_028.jpg,0,2026-05-15T00:00:00Z
ri_029,rev_029,https://cdn.example.com/reviews/img_029.jpg,0,2026-05-15T00:00:00Z
