id,user_id,type,label,last4,expires_month,expires_year,is_default,created_at,updated_at
upm_001,usr_001,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_002,usr_002,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_003,usr_003,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_004,usr_004,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_005,usr_005,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_006,usr_006,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_007,usr_007,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_008,usr_008,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_009,usr_009,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_010,usr_010,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_011,usr_011,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_012,usr_012,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_013,usr_013,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_014,usr_014,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_015,usr_015,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_016,usr_016,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_017,usr_017,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_018,usr_018,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_019,usr_019,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_020,usr_020,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_021,usr_021,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_022,usr_022,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_023,usr_023,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_024,usr_024,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_025,usr_025,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_026,usr_026,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_027,usr_027,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_028,usr_028,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_029,usr_029,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_030,usr_030,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_031,usr_031,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_032,usr_032,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_033,usr_033,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_034,usr_034,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_035,usr_035,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_036,usr_036,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_037,usr_037,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_038,usr_038,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_039,usr_039,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_040,usr_040,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_041,usr_041,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_042,usr_042,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_043,usr_043,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
